,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Squad
308,Harry Wilson,WAL,"FW,MF",27.0,25,12,1162,12.9,6.0,1.0,7.0,6.0,0.0,0.0,2.0,0.0,Fulham
309,Rodrigo Muniz,BRA,FW,23.0,31,8,964,10.7,8.0,1.0,9.0,8.0,0.0,0.0,1.0,0.0,Fulham
310,Ryan Sessegnon,ENG,"FW,DF",24.0,16,7,580,6.4,4.0,2.0,6.0,4.0,0.0,0.0,1.0,0.0,Fulham
311,Reiss Nelson,ENG,FW,24.0,11,5,487,5.4,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,Fulham
312,Jorge Cuenca,ESP,DF,24.0,8,4,351,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fulham
313,Tom Cairney,SCO,MF,33.0,25,3,628,7.0,2.0,0.0,2.0,2.0,0.0,0.0,3.0,1.0,Fulham
314,Willian,BRA,"FW,MF",35.0,10,2,257,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fulham
315,Joshua King,ENG,MF,17.0,8,1,130,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fulham
316,Harrison Reed,ENG,MF,29.0,12,0,108,1.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Fulham
317,Martial Godo,ENG,"FW,DF",21.0,2,0,24,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fulham
318,Carlos Vinícius,BRA,"MF,FW",29.0,3,0,16,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fulham
319,Jay Stansfield,ENG,MF,21.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fulham
320,Samuel Amissah,ENG,DF,17.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fulham
321,Steven Benda,GER,GK,25.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fulham
322,Dara O'Shea,IRL,DF,25.0,35,35,3122,34.7,0.0,2.0,2.0,0.0,0.0,0.0,6.0,0.0,Ipswich Town
323,Leif Davis,ENG,DF,24.0,33,32,2743,30.5,1.0,2.0,3.0,1.0,0.0,0.0,5.0,1.0,Ipswich Town
324,Liam Delap,ENG,FW,21.0,37,32,2593,28.8,12.0,2.0,14.0,10.0,2.0,2.0,12.0,0.0,Ipswich Town
325,Sam Morsy,EGY,MF,32.0,33,31,2751,30.6,1.0,1.0,2.0,1.0,0.0,0.0,10.0,0.0,Ipswich Town
326,Omari Hutchinson,ENG,"MF,FW",20.0,31,30,2583,28.7,3.0,2.0,5.0,3.0,0.0,0.0,5.0,0.0,Ipswich Town
327,Jacob Greaves,ENG,DF,23.0,25,25,2205,24.5,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,Ipswich Town
328,Jens Cajuste,SWE,MF,24.0,30,25,1959,21.8,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,Ipswich Town
329,Axel Tuanzebe,COD,DF,26.0,22,20,1710,19.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,Ipswich Town
330,Arijanet Muric,KVX,GK,25.0,18,18,1620,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Ipswich Town
331,Cameron Burgess,AUS,DF,28.0,18,16,1541,17.1,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Ipswich Town
332,Ben Johnson,ENG,"DF,FW",24.0,23,14,1354,15.0,1.0,2.0,3.0,1.0,0.0,0.0,5.0,1.0,Ipswich Town
333,Kalvin Phillips,ENG,MF,28.0,19,14,1237,13.7,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,Ipswich Town
334,Alex Palmer,ENG,GK,27.0,13,13,1170,13.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Ipswich Town
335,Sammie Szmodics,IRL,"FW,MF",28.0,20,13,992,11.0,4.0,0.0,4.0,4.0,0.0,0.0,2.0,0.0,Ipswich Town
336,Luke Woolfenden,ENG,DF,25.0,15,12,1187,13.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Ipswich Town
337,Jack Clarke,ENG,"FW,MF",23.0,32,12,1181,13.1,0.0,4.0,4.0,0.0,0.0,0.0,2.0,0.0,Ipswich Town
338,Wes Burns,WAL,"FW,DF",29.0,18,12,926,10.3,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,Ipswich Town
339,Julio Enciso,PAR,"MF,FW",20.0,13,12,869,9.7,2.0,3.0,5.0,2.0,0.0,0.0,3.0,0.0,Ipswich Town
340,Conor Chaplin,ENG,"MF,FW",27.0,22,10,857,9.5,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,Ipswich Town
341,Nathan Broadhead,WAL,"MF,FW",26.0,18,7,702,7.8,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,Ipswich Town
342,Christian Walton,ENG,GK,28.0,7,7,630,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ipswich Town
343,George Hirst,SCO,FW,25.0,26,5,661,7.3,3.0,1.0,4.0,3.0,0.0,0.0,3.0,0.0,Ipswich Town
344,Jaden Philogene Bidace,ENG,"FW,DF",22.0,10,5,474,5.3,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,Ipswich Town
345,Jack Taylor,IRL,MF,26.0,32,4,860,9.6,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,Ipswich Town
346,Harry Clarke,ENG,DF,23.0,7,4,379,4.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,Ipswich Town
347,Conor Townsend,ENG,DF,31.0,6,3,335,3.7,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,Ipswich Town
348,Chiedozie Ogbene,IRL,FW,27.0,5,3,238,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ipswich Town
349,Massimo Luongo,AUS,MF,31.0,11,2,201,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ipswich Town
350,Ben Godfrey,ENG,DF,26.0,3,2,159,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Ipswich Town
351,Ali Al Hamadi,IRQ,FW,22.0,11,0,134,1.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,Ipswich Town
352,Marcus Harness,ENG,MF,28.0,2,0,45,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ipswich Town
353,George Edmundson,ENG,DF,26.0,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ipswich Town
354,Somto Boniface,ENG,DF,18.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ipswich Town
355,Cieran Slicker,SCO,GK,21.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ipswich Town
356,Tom Taylor,Inconnu,MF,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ipswich Town
357,Jamie Vardy,ENG,FW,37.0,35,35,2823,31.4,9.0,4.0,13.0,8.0,1.0,2.0,5.0,0.0,Leicester City
358,James Justin,ENG,DF,26.0,36,34,2912,32.4,2.0,2.0,4.0,2.0,0.0,0.0,6.0,0.0,Leicester City
359,Wout Faes,BEL,DF,26.0,34,30,2815,31.3,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,Leicester City
360,Victor Bernth Kristiansen,DEN,DF,21.0,30,29,2482,27.6,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,Leicester City
361,Wilfred Ndidi,NGA,MF,27.0,28,28,2324,25.8,0.0,5.0,5.0,0.0,0.0,0.0,8.0,0.0,Leicester City
362,Mads Hermansen,DEN,GK,24.0,27,27,2385,26.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Leicester City
363,Bilal El Khannouss,MAR,"MF,FW",20.0,32,27,2182,24.2,2.0,3.0,5.0,2.0,0.0,0.0,4.0,0.0,Leicester City
364,Boubakary Soumaré,FRA,MF,25.0,31,25,2171,24.1,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,Leicester City
365,Conor Coady,ENG,DF,31.0,22,19,1714,19.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,Leicester City
366,Jordan Ayew,GHA,"FW,MF",32.0,30,19,1638,18.2,5.0,0.0,5.0,4.0,1.0,1.0,5.0,0.0,Leicester City
367,Harry Winks,ENG,MF,28.0,22,17,1538,17.1,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,Leicester City
368,Stephy Mavididi,ENG,FW,26.0,30,16,1615,17.9,4.0,1.0,5.0,4.0,0.0,0.0,2.0,0.0,Leicester City
369,Jannik Vestergaard,DEN,DF,31.0,18,16,1391,15.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,Leicester City
370,Facundo Buonanotte,ARG,"FW,MF",19.0,31,14,1523,16.9,5.0,2.0,7.0,5.0,0.0,0.0,8.0,0.0,Leicester City
371,Luke Thomas,ENG,DF,23.0,14,13,1110,12.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,Leicester City
372,Caleb Okoli,ITA,DF,23.0,19,12,1125,12.5,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,Leicester City
373,Oliver Skipp,ENG,MF,23.0,24,10,1129,12.5,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,Leicester City
374,Jakub Stolarczyk,POL,GK,23.0,10,10,900,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Leicester City
375,Kasey McAteer,IRL,FW,22.0,18,9,852,9.5,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,Leicester City
376,Bobby De Cordova-Reid,JAM,FW,31.0,23,9,744,8.3,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,Leicester City
377,Patson Daka,ZAM,"FW,MF",25.0,23,6,736,8.2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,Leicester City
378,Abdul Fatawu Issahaku,GHA,FW,20.0,11,6,579,6.4,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Leicester City
379,Ricardo Pereira,POR,DF,30.0,10,4,388,4.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Leicester City
380,Danny Ward,WAL,GK,31.0,2,1,135,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leicester City
381,Hamza Choudhury,BAN,"MF,DF",26.0,4,1,131,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leicester City
382,Woyo Coulibaly,MLI,DF,25.0,4,1,109,1.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Leicester City
383,Jeremy Monga,Inconnu,"FW,MF",15.0,7,0,112,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leicester City
384,Odsonne Édouard,FRA,FW,26.0,4,0,29,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leicester City
385,Jake Evans,Inconnu,FW,0.0,4,0,24,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leicester City
386,Olabade Aluko,Inconnu,DF,0.0,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leicester City
387,Will Alves,ENG,FW,19.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leicester City
388,Michael Golding,ENG,MF,18.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leicester City
389,Sammy Braybrooke,ENG,MF,20.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leicester City
390,Thomas Cannon,IRL,FW,21.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leicester City
391,Henry Cartwright,ENG,MF,19.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leicester City
392,Daniel Iversen,DEN,GK,27.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leicester City
393,Benjamin Nelson,ENG,DF,20.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leicester City
394,Thomas Wilson-Brown,ENG,DF,19.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leicester City
395,Mohamed Salah,EGY,FW,32.0,38,38,3371,37.5,29.0,18.0,47.0,20.0,9.0,9.0,1.0,0.0,Liverpool
396,Virgil van Dijk,NED,DF,33.0,37,37,3330,37.0,3.0,1.0,4.0,3.0,0.0,0.0,5.0,0.0,Liverpool
397,Ryan Gravenberch,NED,MF,22.0,37,37,3160,35.1,0.0,4.0,4.0,0.0,0.0,0.0,6.0,1.0,Liverpool
398,Alexis Mac Allister,ARG,MF,25.0,35,30,2599,28.9,5.0,5.0,10.0,5.0,0.0,0.0,6.0,0.0,Liverpool
399,Ibrahima Konaté,FRA,DF,25.0,31,30,2560,28.4,1.0,2.0,3.0,1.0,0.0,0.0,5.0,0.0,Liverpool
400,Dominik Szoboszlai,HUN,MF,23.0,36,29,2491,27.7,6.0,6.0,12.0,6.0,0.0,0.0,6.0,0.0,Liverpool
401,Andrew Robertson,SCO,DF,30.0,33,29,2482,27.6,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,Liverpool
402,Alisson,BRA,GK,31.0,28,28,2508,27.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Liverpool
403,Luis Díaz,COL,FW,27.0,36,28,2399,26.7,13.0,5.0,18.0,13.0,0.0,0.0,2.0,0.0,Liverpool
404,Trent Alexander-Arnold,ENG,DF,25.0,33,28,2365,26.3,3.0,6.0,9.0,3.0,0.0,0.0,5.0,0.0,Liverpool
405,Cody Gakpo,NED,FW,25.0,35,23,1935,21.5,10.0,4.0,14.0,10.0,0.0,0.0,5.0,0.0,Liverpool
406,Curtis Jones,ENG,"MF,DF",23.0,33,19,1712,19.0,3.0,3.0,6.0,3.0,0.0,0.0,3.0,1.0,Liverpool
407,Diogo Jota,POR,FW,27.0,26,14,1196,13.3,6.0,3.0,9.0,6.0,0.0,0.0,2.0,0.0,Liverpool
408,Caoimhín Kelleher,IRL,GK,25.0,10,10,900,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Liverpool
409,Kostas Tsimikas,GRE,DF,28.0,18,9,837,9.3,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,Liverpool
410,Darwin Núñez,URU,FW,25.0,30,8,1133,12.6,5.0,2.0,7.0,5.0,0.0,0.0,8.0,0.0,Liverpool
411,Conor Bradley,NIR,DF,21.0,19,7,754,8.4,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,Liverpool
412,Joe Gomez,ENG,DF,27.0,9,6,519,5.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Liverpool
413,Jarell Quansah,ENG,DF,21.0,13,4,495,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Liverpool
414,Harvey Elliott,ENG,MF,21.0,18,2,371,4.1,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,Liverpool
415,Wataru Endo,JPN,"MF,DF",31.0,20,1,273,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Liverpool
416,Federico Chiesa,ITA,FW,26.0,6,1,108,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Liverpool
417,Vitezslav Jaros,CZE,GK,23.0,1,0,12,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Liverpool
418,Jayden Danns,ENG,MF,18.0,1,0,11,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Liverpool
419,Harvey Davies,ENG,GK,20.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Liverpool
420,James McConnell,ENG,MF,19.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Liverpool
421,Tyler Morton,ENG,MF,21.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Liverpool
422,Amara Nallo,ENG,DF,17.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Liverpool
423,Trey Nyoni,ENG,MF,17.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Liverpool
424,Joško Gvardiol,CRO,DF,22.0,37,36,3277,36.4,5.0,0.0,5.0,5.0,0.0,0.0,2.0,0.0,Manchester City
425,Erling Haaland,NOR,FW,24.0,31,31,2736,30.4,22.0,3.0,25.0,19.0,3.0,4.0,2.0,0.0,Manchester City
426,Bernardo Silva,POR,"MF,FW",29.0,33,29,2670,29.7,4.0,4.0,8.0,4.0,0.0,0.0,7.0,0.0,Manchester City
427,Ederson,BRA,GK,30.0,26,26,2320,25.8,0.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,Manchester City
428,Rúben Dias,POR,DF,27.0,27,25,2271,25.2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,Manchester City
429,İlkay Gündoğan,GER,MF,33.0,33,25,2223,24.7,1.0,6.0,7.0,1.0,0.0,0.0,1.0,0.0,Manchester City
430,Mateo Kovačić,CRO,MF,30.0,31,25,2198,24.4,6.0,2.0,8.0,6.0,0.0,0.0,5.0,1.0,Manchester City
431,Manuel Akanji,SUI,DF,29.0,26,23,2014,22.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,Manchester City
432,Rico Lewis,ENG,"DF,MF",19.0,28,21,1893,21.0,1.0,2.0,3.0,1.0,0.0,0.0,5.0,1.0,Manchester City
433,Sávio,BRA,"FW,MF",20.0,29,21,1766,19.6,1.0,8.0,9.0,1.0,0.0,0.0,3.0,0.0,Manchester City
434,Phil Foden,ENG,"MF,FW",24.0,28,20,1777,19.7,7.0,2.0,9.0,7.0,0.0,0.0,2.0,0.0,Manchester City
435,Kevin De Bruyne,BEL,"MF,FW",33.0,28,19,1702,18.9,4.0,7.0,11.0,4.0,0.0,0.0,2.0,0.0,Manchester City
436,Matheus Nunes,POR,"DF,MF",25.0,26,19,1674,18.6,1.0,6.0,7.0,1.0,0.0,0.0,4.0,0.0,Manchester City
437,Jeremy Doku,BEL,"FW,MF",22.0,29,16,1516,16.8,3.0,6.0,9.0,3.0,0.0,0.0,1.0,0.0,Manchester City
